Código,Ação
ALOS3,ALLOS
ALPA4,ALPARGATAS
ABEV3,AMBEV S/A
ASAI3,ASSAI
AURE3,AUREN
AZUL4,AZUL
AZZA3,AZZAS 2154
B3SA3,B3
BBSE3,BBSEGURIDADE
BBDC3,BRADESCO
BBDC4,BRADESCO
BRAP4,BRADESPAR
BBAS3,BRASIL
BRKM5,BRASKEM
BRAV3,BRAVA
BRFS3,BRF SA
BPAC11,BTGP BANCO
CXSE3,CAIXA SEGURI
CRFB3,CARREFOUR BR
CCRO3,CCR SA
CMIG4,CEMIG
COGN3,COGNA ON
CPLE6,COPEL
CSAN3,COSAN
CPFE3,CPFL ENERGIA
CMIN3,CSNMINERACAO
CVCB3,CVC BRASIL
CYRE3,CYRELA REALT
ELET3,ELETROBRAS
ELET6,ELETROBRAS
EMBR3,EMBRAER
ENGI11,ENERGISA
ENEV3,ENEVA
EGIE3,ENGIE BRASIL
EQTL3,EQUATORIAL
EZTC3,EZTEC
FLRY3,FLEURY
GGBR4,GERDAU
GOAU4,GERDAU MET
NTCO3,GRUPO NATURA
HAPV3,HAPVIDA
HYPE3,HYPERA
IGTI11,IGUATEMI S.A
IRBR3,IRBBRASIL RE
ITSA4,ITAUSA
ITUB4,ITAUUNIBANCO
JBSS3,JBS
KLBN11,KLABIN S/A
RENT3,LOCALIZA
LREN3,LOJAS RENNER
LWSA3,LWSA
MGLU3,MAGAZ LUIZA
MRFG3,MARFRIG
BEEF3,MINERVA
MRVE3,MRV
MULT3,MULTIPLAN
PCAR3,P.ACUCAR-CBD
PETR3,PETROBRAS
PETR4,PETROBRAS
RECV3,PETRORECSA
PRIO3,PETRORIO
PETZ3,PETZ
RADL3,RAIADROGASIL
RAIZ4,RAIZEN
RDOR3,REDE D OR
RAIL3,RUMO S.A.
SBSP3,SABESP
SANB11,SANTANDER BR
STBP3,SANTOS BRP
SMTO3,SAO MARTINHO
CSNA3,SID NACIONAL
SLCE3,SLC AGRICOLA
SUZB3,SUZANO S.A.
TAEE11,TAESA
VIVT3,TELEF BRASIL
TIMS3,TIM
TOTS3,TOTVS
TRPL4,TRAN PAULIST
UGPA3,ULTRAPAR
USIM5,USIMINAS
VALE3,VALE
VAMO3,VAMOS
VBBR3,VIBRA
VIVA3,VIVARA S.A.
WEGE3,WEG
YDUQ3,YDUQS PART
