Código;Ação;Tipo;Qtde. Teórica;Part. (%);
ALOS3;ALLOS;ON  EJ  NM;502.481.592;0,470;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,054;
ABEV3;AMBEV S/A;ON  EDJ;4.394.835.131;2,728;
ASAI3;ASSAI;ON      NM;1.349.687.675;0,398;
AURE3;AUREN;ON      NM;291.727.616;0,131;
AMOB3;AUTOMOB;ON      NM;558.603.452;0,010;
AZUL4;AZUL;PN      N2;328.421.113;0,057;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,191;
B3SA3;B3;ON      NM;5.511.401.013;2,936;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,189;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,813;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,048;
BRAP4;BRADESPAR;PN  EJ  N1;250.969.312;0,214;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,525;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,158;
BRAV3;BRAVA;ON      NM;463.981.130;0,539;
BRFS3;BRF SA;ON  EJ  NM;814.523.002;1,039;
BPAC11;BTGP BANCO;UNT EX  N2;1.287.247.964;1,826;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,387;
CRFB3;CARREFOUR BR;ON  EJ  NM;531.901.983;0,147;
CCRO3;CCR SA;ON      NM;991.920.937;0,522;
CMIG4;CEMIG;PN  EJ  N1;1.858.636.840;1,055;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,102;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,792;
CSAN3;COSAN;ON      NM;1.165.337.843;0,489;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,305;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,286;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,038;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,233;
ELET3;ELETROBRAS;ON  ED  N1;1.780.013.881;3,125;
ELET6;ELETROBRAS;PNB ED  N1;268.733.136;0,523;
EMBR3;EMBRAER;ON      NM;734.632.601;2,129;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,618;
ENEV3;ENEVA;ON      NM;1.808.392.799;0,980;
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.236.938;0,459;
